day,n_flagged,n_high_risk,mean_risk,max_risk,n_users,n_insiders_flagged
499,22,6,2.1726364704736665,7.499799047292967,166,0
500,175,30,1.2662116233212861,7.803714564307742,3642,0
501,147,30,1.1928097475560375,7.101827745492864,3642,0
502,202,37,1.3493609853970816,8.209203541714224,3642,0
503,227,54,1.400023025180059,8.283189972143221,3637,0
504,167,51,1.2534472271088093,7.808835425404313,3639,0
505,17,4,1.9677345707453184,7.460520338244967,169,0
506,22,6,2.2327719334625677,7.239308877771761,173,0
507,169,43,1.2945875155484823,7.998484440383628,3638,0
508,211,41,1.3886551658344,7.84929084556138,3636,0
509,156,29,1.3052851199116544,7.682248495531936,3638,0
510,176,35,1.3583577263186535,7.630217594892094,3638,0
511,138,14,1.200766028490998,7.515726107933959,3638,0
512,22,6,2.043896570819325,7.718559019696412,169,0
513,28,9,2.2491018623215546,7.0290023155842976,178,0
514,19,3,1.830677798203691,6.77133750111092,180,0
515,139,26,1.1861388427526698,7.319589448169723,3638,0
516,5,2,4.44429719230373,6.808046277630084,7,0
